A,ə|'eɪ
DATAS,d'eɪtəz|d'ætəz
DATE,d'eɪt
DATE'S,d'eɪts
DATED,d'eɪtəd
DATEK,d'ætek
DATELINE,d'eɪtlaɪn
DATELINE'S,d'eɪtlaɪnz
DATELINES,d'eɪtlaɪnz
DATES,d'eɪts
DATEXT,d'ætekst
DATING,d'eɪtəŋ
DATO,d'atoʊ
DATRON,d'ætrən
DATS,d'æts
DATSUN,d'ætsən|d'atsən
DATSUN'S,d'ætsənz|d'atsənz
DATTILIO,dat'ilioʊ
DATTILO,dat'iloʊ
DATUK,d'atuk
DATUM,d'ætəm|d'eɪtəm
DATURA,dət'ʊrə
DATZ,d'æts
DAU,d'oʊ
DAUB,d'ob
DAUBE,d'ob
DAUBED,d'obd
DAUBENSPECK,d'aʊbənspək
DAUBER,d'aʊbər
DAUBERT,d'aʊbərt
DAUCH,d'aʊtʃ
DAUDELIN,d'oʊdəlæn
DAUENHAUER,d'aʊənhaʊər
DAUER,d'aʊər
DAUFUSKIE,d'oʊfʌski
DAUGHDRILL,d'odrəl
DAUGHENBAUGH,do'enbo
DAUGHERTY,d'akərti
DAUGHETY,d'oəti
DAUGHNEY,d'oni
DAUGHTER,d'otər
DAUGHTER'S,d'otərz
DAUGHTERS,d'otərz
DAUGHTERS',d'otərz
DAUGHTERY,d'otəri
DAUGHTON,d'otən
DAUGHTREY,d'otri
DAUGHTRIDGE,d'otrədʒ
DAUGHTRY,d'otri
DAUL,d'ol
DAULT,d'olt
DAULTON,d'oltən
DAUM,d'om
DAUN,d'on
DAUNT,d'ont
DAUNTED,d'ontəd
DAUNTING,d'ontəŋ
DAUPHIN,d'aʊfən
DAUPHINAIS,d'oʊfəneɪ
DAUPHINEE,dofən'i
DAURIA,d'oriə
DAUS,d'oz
DAUSTER,d'aʊstər
DAUTERIVE,d'oʊtərəv
DAUZAT,d'aʊzət
DAVALOS,dav'aloʊz
DAVANZO,dəv'ænzoʊ
DAVAO,dəv'oʊ|d'eɪvoʊ
DAVAULT,dəv'oʊ
DAVCO,d'ævkoʊ
DAVE,d'eɪv
DAVE'S,d'eɪvz
DAVEE,d'ævi
DAVENPORT,d'ævənport
DAVENPORT'S,d'ævənports
DAVERN,d'ævərn
DAVERSA,dav'ersə
DAVES,d'eɪvz
DAVEY,d'eɪvi
DAVI,d'avi
DAVIA,d'aviə
DAVID,d'eɪvəd
DAVID'S,d'eɪvədz
DAVIDA,dav'idə
DAVIDE,dʌv'ideɪ
DAVIDGE,d'ævədʒ
DAVIDIAN,dəv'ɪdiən
DAVIDIAN'S,dəv'ɪdiənz
DAVIDIANS,dəv'ɪdiənz
DAVIDOFF,d'eɪvədof
DAVIDOW,d'ævədoʊ
DAVIDS,d'eɪvədz
DAVIDSON,d'eɪvədsən
DAVIDSON'S,d'eɪvədsənz
DAVIE,d'eɪvi
DAVIES,d'eɪviz
DAVIGNON,davign'on
DAVILA,dəv'ɪlə
DAVILLA,dəv'ɪlə
DAVIN,d'ævən
DAVINA,dav'inə
DAVINO,dav'inoʊ
DAVIO'S,d'ævioʊz
DAVIR,dəv'ɪr
DAVIS,d'eɪvəs
DAVIS',d'eɪvəs|d'eɪvəsəz
DAVIS'S,d'eɪvəsəz
DAVISON,d'eɪvəsən
DAVISSON,d'ævəsən
DAVITT,dəv'ɪt
DAVLIN,d'ævlən
DAVOLI,dav'oʊli
DAVOS,d'avoʊs
DAVOX,d'ævaks
DAVY,d'eɪvi
DAVYDOV,d'eɪvədov
DAW,d'o
DAWDLE,d'odəl
DAWDLING,d'odləŋ
DAWDY,d'odi
DAWE,d'o
DAWES,d'oz
DAWIT,d'æwət
DAWKINS,d'okənz
DAWLEY,d'oli
DAWN,d'on
DAWN'S,d'onz
DAWNED,d'ond
DAWNING,d'onəŋ
DAWNS,d'onz
DAWS,d'oz
DAWSEY,d'osi
DAWSON,d'osən
DAWSON'S,d'osənz
DAX,d'æks
DAX',d'æks
DAX'S,d'æksəz
DAXOR,d'æksər
DAY,d'eɪ
DAY'S,d'eɪz
DAYA,d'aɪə
DAYA'S,d'aɪəz
DAYAN,d'eɪən
DAYBREAK,d'eɪbreɪk
DAYCARE,d'eɪker
DAYCARES,d'eɪkerz
DAYCO,d'eɪkoʊ
DAYDREAM,d'eɪdrim
DAYDREAMED,d'eɪdrimd
DAYDREAMING,d'eɪdriməŋ
DAYDREAMS,d'eɪdrimz
DAYE,d'eɪ
DAYHOFF,d'eɪhof
DAYHUFF,d'eɪhʌf
DAYLE,d'eɪl
DAYLEY,d'eɪli
DAYLIGHT,d'eɪlaɪt
DAYLIGHTS,d'eɪlaɪts
DAYLONG,d'eɪloŋ
DAYNARD,d'eɪnərd
DAYNE,d'eɪn
DAYS,d'eɪz
DAYS',d'eɪz
DAYTIME,d'eɪtaɪm
DAYTIMES,d'eɪtaɪmz
DAYTON,d'eɪtən
DAYTON'S,d'eɪtənz
DAYTONA,deɪt'oʊnə
DAYTOP,d'eɪtap
DAYWALT,d'eɪwəlt
DAZE,d'eɪz
DAZED,d'eɪzd
DAZEY,d'eɪzi
DAZS,d'as
DAZZLE,d'æzəl
DAZZLED,d'æzəld
DAZZLING,d'æzələŋ|d'æzləŋ
DAZZO,d'æzoʊ
DBASE,d'ibeɪs
DDT,didit'i
DE,d'i|d'eɪ|də
DEA,d'i
DEACON,d'ikən
DEACONESS,d'ikənəs
DEACONS,d'ikənz
DEACTIVATE,di'æktəveɪt
DEACTIVATED,di'æktəveɪtəd
DEAD,d'ed
DEADBEAT,d'edbit
DEADBEATS,d'edbits
DEADBOLT,d'edboʊlt
DEADEN,d'edən
DEADENING,d'edənəŋ|d'ednəŋ
DEADER,d'edər
DEADHEAD,d'edhed
DEADHEADS,d'edhedz
DEADHORSE,d'edhors
DEADLIER,d'edliər
DEADLIEST,d'edliəst
DEADLINE,d'edlaɪn
DEADLINES,d'edlaɪnz
DEADLINESS,d'edlinəs
DEADLOCK,d'edlak
DEADLOCKED,d'edlakt
DEADLOCKS,d'edlaks
DEADLY,d'edli
DEADPAN,d'edpæn
DEADWEIGHT,d'edweɪt
DEADWOOD,d'edwʊd
DEADWYLER,d'edwaɪlər
DEADY,d'edi
DEAF,d'ef
DEAFEN,d'efən
DEAFENING,d'efənəŋ|d'efnəŋ
DEAFNESS,d'efnəs
DEAHL,d'il
DEAK,d'ik
DEAK'S,d'iks
DEAKIN,d'ikən
DEAKINS,d'ikənz
DEAL,d'il
DEAL'S,d'ilz
DEALBA,di'ælbə
DEALE,d'il
DEALER,d'ilər
DEALER'S,d'ilərz
DEALERLINE,d'ilərlaɪn
DEALERS,d'ilərz
DEALERS',d'ilərz
DEALERSHIP,d'ilərʃɪp
DEALERSHIP'S,d'ilərʃɪps
DEALERSHIPS,d'ilərʃɪps
DEALEY,d'ili
DEALFISH,d'ilfɪʃ
DEALING,d'iləŋ
DEALINGS,d'iləŋz
DEALMAKER,d'ilmeɪkər
DEALMAKERS,d'ilmeɪkərz
DEALMAKING,d'ilmeɪkəŋ
DEALMEIDA,dəlm'idə
DEALS,d'ilz
DEALT,d'elt
DEALY,d'ili
DEAM,d'im
DEAMER,d'imər
DEAN,d'in
DEAN'S,d'inz
DEANA,di'ænə
DEANDA,di'ændə
DEANDRADE,dəndr'adi
DEANDREA,d'ædriə|diædr'eɪə
DEANDREA'S,d'ædriəz|diædr'eɪəz
DEANE,d'in
DEANER,d'inər
DEANGELIS,di'ændʒələs
DEANGELO,dəŋg'eloʊ
DEANNA,di'ænə
DEANS,d'inz
DEAR,d'ɪr
DEARBORN,d'ɪrborn
DEARDEN,d'ɪrdən
DEARDORFF,d'ɪrdorf
DEARDOURFF,d'ɪrdorf
DEARER,d'ɪrər
DEAREST,d'ɪrəst
DEARING,d'ɪrəŋ
DEARINGER,d'ɪrəŋər
DEARLY,d'ɪrli
DEARMAN,d'ɪrmən
DEARMAS,d'ʌrməz
DEARMENT,d'ɪrmənt
DEARMON,d'ʌrmən
DEARMOND,d'ʌrmənd
DEARTH,d'ʌrθ
DEARY,d'ɪri
DEAS,d'iz
DEASE,d'is
DEASON,d'izən
DEASY,d'isi
DEATER,d'itər
DEATH,d'eθ
DEATH'S,d'eθs
DEATHBED,d'eθbed
DEATHERAGE,d'eθərədʒ|d'eθrədʒ
DEATHLY,d'eθli
DEATHS,d'eθs
DEATHSHOT,d'eθʃot
DEATHWATCH,d'eθwatʃ
DEATLEY,d'itli
DEATON,d'itən
DEATRICK,d'itrək
DEATS,d'its
DEAVER,d'ivər
DEAVER'S,d'ivərz
DEAVERS,d'ivərz
DEAVILA,dəv'ilə
DEB,d'eb
DEBACKER,d'ibækər
DEBACLE,dəb'akəl
DEBACLES,deɪb'akəlz
DEBAKEY,dəb'eɪki
DEBARMENT,dəb'armənt
DEBARR,dəb'ær
DEBARROS,deɪb'aroʊz
DEBARTOLO,dəbart'oʊloʊ|dəb'artəloʊ
DEBARTOLOS,dəb'artəloʊz|dəbart'oʊloʊz
DEBASE,dəb'eɪs
DEBASED,dəb'eɪst
DEBASEMENT,dəb'eɪsmənt
DEBASING,dəb'eɪsəŋ
DEBATABLE,dəb'eɪtəbəl
DEBATE,dəb'eɪt
DEBATE'S,dəb'eɪts
DEBATED,dəb'eɪtəd
DEBATER,dəb'eɪtər
DEBATERS,dəb'eɪtərz
DEBATES,dəb'eɪts
DEBATING,dəb'eɪtəŋ
DEBATOR,dib'eɪtər
DEBATOR'S,dib'eɪtərz
DEBAUCHE,d'ebaʊk
DEBAUCHERY,dəb'otʃəri
DEBAUN,d'ebaʊn
DEBBIE,d'ebi
DEBBIE'S,d'ebiz
DEBBY,d'ebi
DEBEER,d'ebər
DEBEERS,dəb'ɪrz
DEBELAK,d'ebələk
DEBELL,d'ibel
DEBELLA,dəb'elə
DEBELLIS,d'ebələs
DEBELLO,dəb'eloʊ
DEBENEDETTO,dəbenəd'etoʊ
DEBENEDICTIS,d'ebənədəktəs
DEBENTURE,dəb'entʃər
DEBENTURES,dəb'entʃərz
DEBENTURES',dəb'entʃərz
DEBERNARDI,dəbərn'ardi
DEBERRY,d'iberi
DEBES,d'ibz
DEBEVOISE,debevw'az
DEBI,d'ebi
DEBIASE,dəbi'asi
DEBILITATE,dəb'ɪləteɪt
DEBILITATED,dəb'ɪləteɪtəd
DEBILITATING,dəb'ɪləteɪtəŋ
DEBILITY,dəb'ɪləti
DEBIT,d'ebət
DEBLANC,dəbl'æŋk
DEBLASIO,dəbl'asioʊ
DEBLOCK,d'eblək
DEBLOIS,debl'u
DEBLUM,dəbl'um|dəbl'ʌm
DEBNAM,d'ebnəm
DEBO,d'iboʊ
DEBOARD,d'ibord
DEBOE,dəb'oʊ
DEBOER,d'iboʊər
DEBOERS,d'iboʊərz
DEBOLD,d'eboʊld
DEBOLT,d'eboʊlt
DEBONA,dəb'oʊnə
DEBONAIR,debən'er
DEBONIS,d'ebənəs
DEBONO,dəb'oʊnoʊ
DEBOR,d'ebor
DEBORA,d'ebrə
DEBORAH,d'ebərə|d'ebrə
DEBORAH'S,d'ebərəz|d'ebrəz
DEBORD,dəb'ord
DEBORDE,dəb'ord
DEBOSE,d'ebəs
DEBOW,d'eboʊ
DEBOY,dəb'oɪ
DEBRA,d'ebrə
DEBRAUDWICK,dəbr'adwək
DEBRECEN,d'ebr'etsən
DEBRIEF,dəbr'if
DEBRIEFED,dəbr'ift
DEBRIEFING,dəbr'ifəŋ
DEBRIEFS,dəbr'ifs
DEBRIS,dəbr'i
DEBROSSE,d'ebrəs
DEBRUHL,d'ebrəl
DEBRUIN,d'ebruən
DEBRULER,d'ebrulər
DEBRUYN,d'ebraɪn
DEBRUYNE,d'ebraɪn
DEBS,d'ebz
DEBT,d'et
DEBT'S,d'ets
DEBTHOLDER,d'ethoʊldər
DEBTHOLDERS,d'ethoʊldərz
DEBTOR,d'etər
DEBTOR'S,d'etərz
DEBTORS,d'etərz
DEBTORS',d'etərz
DEBTS,d'ets
DEBUG,dib'ʌg
DEBUGGING,dib'ʌgəŋ
DEBUHR,d'ebʊr
DEBUNK,dəb'ʌŋk
DEBUNKED,dəb'ʌŋkt
DEBUNKING,dəb'ʌŋkəŋ
DEBUNKS,dəb'ʌŋks
DEBUS,d'ebəs
DEBUSK,d'ebəsk
DEBUSSY,dəb'ʌsi|dəbj'usi
DEBUSSY'S,dəb'ʌsiz|dəbj'usiz
DEBUT,deɪbj'u|d'eɪbju
DEBUTANTE,d'ebjət'ant
DEBUTANTES,d'ebjət'ants
DEBUTED,deɪbj'ud|d'eɪbjud
DEBUTING,deɪbj'uəŋ
DEBUTS,d'eɪbjuz
DEC,d'ek
DEC'S,d'eks
DECADE,dek'eɪd|d'ekeɪd
DECADE'S,d'ekeɪdz
DECADENCE,d'ekədəns
DECADENT,d'ekədənt
DECADENTS,d'ekədənts
DECADES,dek'eɪdz|d'ekeɪdz
DECAF,d'ikæf
DECAFFEINATE,dik'æfəneɪt
DECAFFEINATED,dik'æfəneɪtəd
DECAFFEINATING,dik'æfəneɪtəŋ
DECAFFEINATION,dikæfən'eɪʃən
DECAIRE,d'iker
DECALS,d'ikælz
DECAMILLO,dekəm'ɪloʊ
DECAMILLO'S,dekəm'ɪloʊz
DECAMP,dək'æmp
DECAMPED,dik'æmpt
DECANDIA,dək'andiə
DECANT,dək'ænt
DECANTING,dək'æntəŋ
DECAPITATE,dik'æpəteɪt
DECAPITATED,dik'æpəteɪtəd
DECAPITATION,dəkæpət'eɪʃən
DECAPITATIONS,dəkæpət'eɪʃənz
DECAPRIO,dək'aprioʊ
DECAPUA,dəkap'uə
DECARAVA,dək'æəvə
DECARAVA'S,dək'æəvəz
DECARLI,dək'arli
DECARLO,dək'arloʊ
DECARO,dək'aroʊ
DECAROLIS,d'ekərələs|dək'ʌrələs
DECASTRO,dək'æstroʊ
DECATHLETE,dik'æθlit
DECATHLON,dik'æθlon
DECATO,dək'atoʊ
DECATUR,dək'eɪtər
DECAY,dək'eɪ
DECAYED,dək'eɪd
DECAYING,dək'eɪəŋ
DECAYS,dək'eɪz
DECCA,d'ekə
DECEASE,dəs'is
DECEASED,dəs'ist
DECECCO,dətʃ'ekoʊ
DECEDENT,des'idənt
DECEDENT'S,des'idənts
DECEDENTS,des'idənts
DECEIT,dəs'it
DECEITFUL,dəs'itfəl
DECEITS,dəs'its
DECEIVE,dəs'iv
DECEIVED,dəs'ivd
DECEIVING,dəs'ivəŋ
DECELERATE,dəs'eləreɪt
DECELERATED,dəs'eləreɪtəd
DECELERATING,dəs'eləreɪtəŋ
DECELERATION,dəselər'eɪʃən
DECELLE,dəs'el
DECELLES,d'esəlz
DECEMBER,dəs'embər
DECEMBER'S,dəs'embərz
DECENCY,d'isənsi
DECENNIAL,dəs'eniəl
DECENT,d'isənt
DECENTLY,d'isəntli
DECENTRALIZATION,dəsentrələz'eɪʃən
DECENTRALIZE,dəs'entrəlaɪz
DECENTRALIZED,dəs'entrəlaɪzd
DECENTRALIZING,dəs'entrəlaɪzəŋ
DECEPTION,dəs'epʃən
DECEPTIONS,dəs'epʃənz
DECEPTIVE,dəs'eptəv
DECEPTIVELY,dəs'eptəvli
DECERTIFICATION,disʌrtəfək'eɪʃən
DECERTIFIED,dis'ʌrtəfaɪd
DECERTIFY,dis'ʌrtəfaɪ
DECESARE,dətʃes'ari
DECESARIS,dəs'esərəs
DECH,d'ek
DECHANT,d'eɪtʃənt
DECHELLIS,d'ekələs
DECHENE,d'ekin
DECHERD,d'etʃərd
DECHERT,d'ekərt
DECHINE,d'etʃɪn|dətʃ'ɪn
DECHRISTOPHER,d'ekrəstafər
DECIBEL,d'esəbel
DECIBELS,d'esəbəlz
DECICCO,dətʃ'ikoʊ
DECIDE,dəs'aɪd
DECIDED,dəs'aɪdəd
DECIDEDLY,dəs'aɪdədli
DECIDES,dəs'aɪdz
DECIDING,dəs'aɪdəŋ
DECIDUOUS,dəs'ɪdʒuəs
DECILITER,d'esəlitər
DECIMA,dətʃ'imə
DECIMAL,d'esəməl
DECIMALS,d'esəməlz
DECIMATE,d'esəmeɪt
DECIMATED,d'esəmeɪtəd
DECIMATING,d'esəmeɪtəŋ
DECIMATION,d'esəmeɪʃən
DECIPHER,dəs'aɪfər
DECIPHERED,dəs'aɪfərd
DECIPHERING,dəs'aɪfərəŋ
DECISION,dəs'ɪʒən
DECISION'S,dəs'ɪʒənz
DECISIONMAKER,dəs'ɪʒənmeɪkər
DECISIONMAKING,dəs'ɪʒənmeɪkəŋ
DECISIONS,dəs'ɪʒənz
DECISIVE,dəs'aɪsəv
DECISIVELY,dəs'aɪsəvli
DECISIVENESS,dəs'aɪsəvnəs
DECK,d'ek
DECKARD,dək'ard
DECKED,d'ekt
DECKER,d'ekər
DECKER'S,d'ekərz
DECKERT,d'ekərt
DECKING,d'ekəŋ
DECKMAN,d'ekmən
DECKS,d'eks
DECLAIM,dəkl'eɪm
DECLAIMED,dəkl'eɪmd
DECLARANT,dəkl'erənt
DECLARATION,deklər'eɪʃən
DECLARATIONS,deklər'eɪʃənz
DECLARATORY,dəkl'erətori
DECLARE,dəkl'er
DECLARED,dəkl'erd
DECLARES,dəkl'erz
DECLARING,dəkl'erəŋ
DECLASSIFIED,dəkl'æsəfaɪd
DECLASSIFY,dəkl'æsəfaɪ
DECLERCK,dəkl'ʌrk
DECLERCK'S,dəkl'ʌrks
DECLERCQ,dəkl'ʌrk
DECLERCQ'S,dəkl'ʌrks
DECLERK,dəkl'ʌrk
DECLERK'S,dəkl'ʌrks
DECLERQUE,dəkl'ʌrk
DECLERQUE'S,dəkl'ʌrks
DECLINE,dəkl'aɪn
DECLINED,dəkl'aɪnd
DECLINER,dəkl'aɪnər
DECLINERS,dəkl'aɪnərz
DECLINES,dəkl'aɪnz
DECLINING,dəkl'aɪnəŋ
DECLUE,d'eklu
DECO,d'ekoʊ
DECODE,dək'oʊd
DECODED,dək'oʊdəd
DECODER,dək'oʊdər
DECODERS,dək'oʊdərz
DECODES,dək'oʊdz
DECODING,dək'oʊdəŋ
DECOLA,dək'oʊlə
DECOM,d'ekam
DECOMMISSION,dikəm'ɪʃən
DECOMMISSIONED,dikəm'ɪʃənd
DECOMMISSIONING,dikəm'ɪʃənəŋ
DECOMPOSE,dikəmp'oʊz
DECOMPOSED,dikəmp'oʊzd
DECOMPOSES,dikəmp'oʊzəz
DECOMPOSING,dikəmp'oʊzəŋ
DECOMPOSITION,dikəmpoʊz'ɪʃən|dikəmpəz'ɪʃən
DECOMPRESSION,dikəmpr'eʃən
DECONCINI,dikəns'ini
DECONGESTANT,dəkəndʒ'estənt|dikəndʒ'estənt
DECONGESTANTS,dəkəndʒ'estənts|dikəndʒ'estənts
DECONSTRUCT,dikənstr'ʌkt
DECONSTRUCTION,dikənstr'ʌkʃən
DECONTAMINATE,dikənt'æməneɪt
DECONTAMINATED,dikənt'æməneɪtəd
DECONTAMINATION,dikəntæmən'eɪʃən
DECONTROL,dikəntr'oʊl
DECONTROLLED,dikəntr'oʊld
DECOOK,dek'ʊk
DECOR,dək'or|d'eɪkor
DECORATE,d'ekəreɪt
DECORATED,d'ekəreɪtəd
DECORATING,d'ekəreɪtəŋ
DECORATION,dekər'eɪʃən
DECORATIONS,dekər'eɪʃənz
DECORATIVE,d'ekrətəv
DECORATOR,d'ekəreɪtər
DECORATORS,d'ekəreɪtərz
DECORDOVA,dikord'oʊvə
DECOROUS,d'ekərəs
DECORTE,dək'orti
DECORUM,dək'orəm
DECOSTA,dək'oʊstə
DECOSTE,dək'oʊsti
DECOSTER,d'ekəstər
DECOTEAU,d'ekətoʊ
DECOU,dək'u
DECOUPLE,dik'ʌpəl
DECOUPLING,dik'ʌpləŋ
DECOURCY,d'ekʊrki
DECOURSEY,d'ekorsi
DECOY,dək'oɪ
DECOYS,d'ikoɪz
DECRANE,dəkr'eɪn
DECREASE,dəkr'is|d'ikris
DECREASED,dəkr'ist|d'ikrist
DECREASES,dəkr'isəz|d'ikrisəz
DECREASING,dəkr'isəŋ|d'ikrisəŋ
DECREE,dəkr'i
DECREED,dəkr'id
DECREES,dəkr'iz
DECREPIT,dəkr'epət
DECREPITLY,dəkr'epətli
DECRESCENZO,dəkrestʃ'enzoʊ
DECRIED,dəkr'aɪd
DECRIES,dəkr'aɪz
DECRIMINALIZATION,dikrɪmənələz'eɪʃən
DECRIMINALIZE,dikrɪmənəl'aɪz
DECRIMINALIZING,dikrɪmənəl'aɪzəŋ
DECRISTOFARO,dəkristoʊf'aroʊ
DECRY,dəkr'aɪ
DECRYING,dəkr'aɪəŋ
DECTER,d'ektər
DECUIR,d'ekər
DECURTIS,dik'ʌrtəs
DECWORLD,d'ekwərld
DEDE,d'id
DEDEAUX,dəd'oʊ
DEDECKER,d'edəkər
DEDERICHS,d'edrəks
DEDERICK,d'edərək
DEDEURWAERDER,dəd'ʌrwardər
DEDHAM,d'edəm
DEDIC,d'edək
DEDICATE,d'edəkeɪt
DEDICATED,d'edəkeɪtəd
DEDICATES,d'edəkeɪts
DEDICATING,d'edəkeɪtəŋ
DEDICATION,dedək'eɪʃən
DEDIOS,deɪd'ioʊz
DEDMAN,d'edmən
DEDMON,d'edmən
DEDO,d'eɪdoʊ
DEDOMINICIS,deɪdoʊmin'isəs
DEDRICK,d'edrək
DEDUCE,dəd'us
DEDUCED,dəd'ust
DEDUCT,dəd'ʌkt
DEDUCTED,dəd'ʌktəd
DEDUCTIBILITY,dədʌktəb'ɪləti
DEDUCTIBLE,dəd'ʌktəbəl
DEDUCTIBLES,dəd'ʌktəbəlz
DEDUCTING,dəd'ʌktəŋ
DEDUCTION,dəd'ʌkʃən
DEDUCTIONS,dəd'ʌkʃənz
DEDUCTIVE,dəd'ʌktəv
DEDUCTIVELY,dəd'ʌktəvli
DEDUCTS,dəd'ʌkts
DEE,d'i
DEE'S,d'iz
DEEB,d'ib
DEED,d'id
DEEDED,d'idəd
DEEDEE,d'id'i
DEEDRICK,d'idrək
DEEDRICK'S,d'idrəks
DEEDS,d'idz
DEEDY,d'idi
DEEG,d'ig
DEEGAN,d'igən
DEEHAN,d'ihæn|d'iən
DEEL,d'il
DEELEY,d'ili
DEELY,d'ili
DEEM,d'im
DEEMED,d'imd
DEEMER,d'imər
DEEMPHASIZE,di'emfəsaɪz
DEEMPHASIZING,di'emfəsaɪzəŋ
DEEMS,d'imz
DEEN,d'in
DEENER,d'inər
DEENEY,d'ini
DEEP,d'ip
DEEPAK,d'ipæk
DEEPEN,d'ipən
DEEPENED,d'ipənd
DEEPENING,d'ipənəŋ|d'ipnəŋ
DEEPENS,d'ipənz
DEEPER,d'ipər
DEEPEST,d'ipəst
DEEPLY,d'ipli
DEEPWATER,d'ipwotər
DEER,d'ɪr
DEERBORNE,d'ɪrborn
DEERE,d'ɪr
DEERE'S,d'ɪrz
DEERFIELD,d'ɪrfild
DEERING,d'ɪrəŋ
DEERMAN,d'ɪrmən
DEERSKIN,d'ɪrskɪn
DEERY,d'ɪri
DEES,d'iz
DEESE,d'iz
DEET,d'it
DEETER,d'itər
DEETS,d'its
DEETZ,d'its
DEEXCITE,d'iəks'aɪt
DEEXCITES,d'iəks'aɪts
DEFABIO,dəf'abioʊ
DEFACE,dəf'eɪs
DEFACED,dəf'eɪst
DEFACING,dəf'eɪsəŋ
DEFALCO,dəf'alkoʊ
DEFAMATION,defəm'eɪʃən
DEFAMATORY,dəf'æmətori
DEFAME,dəf'eɪm
DEFAMED,dəf'eɪmd
DEFARGES,dəf'ardʒəz
DEFAULT,dəf'olt
DEFAULTED,dəf'oltəd
DEFAULTER,dəf'oltər
DEFAULTERS,dəf'oltərz
DEFAULTING,dəf'oltəŋ
DEFAULTS,dəf'olts
DEFAZIO,dəf'azioʊ|dəf'eɪzioʊ
DEFEASANCE,dəf'izəns
DEFEAT,dəf'it
DEFEATED,dəf'itəd
DEFEATING,dəf'itəŋ
DEFEATISM,dəf'itəzəm
DEFEATIST,dəf'itəst
DEFEATS,dəf'its
DEFECT,d'ifekt|dəf'ekt
DEFECTED,dəf'ektəd
DEFECTING,dəf'ektəŋ
DEFECTION,dəf'ekʃən
DEFECTIONS,dəf'ekʃənz
DEFECTIVE,dəf'ektəv
DEFECTOR,dəf'ektər
DEFECTORS,dəf'ektərz
DEFECTS,d'ifekts|dəf'ekts
DEFEE,d'efi
DEFELICE,dəf'eləs
DEFENBAUGH,d'efənbaʊ
DEFENCE,dəf'ens
DEFEND,dəf'end
DEFENDANT,dəf'endənt
DEFENDANT'S,dəf'endənts
DEFENDANTS,dəf'endənts
DEFENDANTS',dəf'endənts
DEFENDED,dəf'endəd
DEFENDER,dəf'endər
DEFENDER'S,dəf'endərz
DEFENDERS,dəf'endərz
DEFENDING,dəf'endəŋ
DEFENDS,dəf'endz
DEFENSE,dəf'ens
DEFENSE'S,dəf'ensəz
DEFENSELESS,dəf'ensləs
DEFENSES,dəf'ensəz
DEFENSIBLE,dəf'ensəbəl
DEFENSIVE,dəf'ensəv
DEFENSIVELY,dəf'ensəvli
DEFENSIVENESS,dəf'ensəvnəs
DEFEO,d'ifioʊ
DEFER,dəf'ʌr
DEFERENCE,d'efərəns|d'efrəns
DEFERENTIAL,defər'entʃəl|defər'enʃəl
DEFERMENT,dəf'ʌrmənt
DEFERMENTS,dəf'ʌrmənts
DEFERRAL,dəf'ʌrəl
DEFERRALS,dəf'ʌrəlz
DEFERRED,dəf'ʌrd
DEFERRING,dəf'ʌrəŋ
DEFERS,dəf'ʌrz
DEFEX,d'efeks
DEFFENBAUGH,d'efənbaʊ
DEFFEYES,def'aɪz
DEFIANCE,dəf'aɪəns
DEFIANT,dəf'aɪənt
DEFIANTLY,dəf'aɪəntli
DEFIBAUGH,d'efəbo
DEFIBRILLATOR,dif'ɪbrəleɪtər
DEFIBRILLATORS,dif'ɪbrəleɪtərz
DEFICIENCIES,dəf'ɪʃənsiz
DEFICIENCY,dəf'ɪʃənsi
DEFICIENT,dəf'ɪʃənt
DEFICIT,d'efəsət
DEFICIT'S,d'efəsəts
DEFICITS,d'efəsəts
DEFIED,dəf'aɪd
DEFIES,dəf'aɪz
DEFILIPPIS,d'efələpəs|dəfəl'ɪpəs
DEFILIPPO,dəfil'ipoʊ
DEFINA,dəf'inə
DEFINABLE,dəf'aɪnəbəl
DEFINE,dəf'aɪn
DEFINED,dəf'aɪnd
DEFINES,dəf'aɪnz
DEFINING,dəf'aɪnəŋ
DEFINITE,d'efənət
DEFINITELY,d'efənətli
DEFINITION,defən'ɪʃən
DEFINITIONS,defən'ɪʃənz
DEFINITIVE,dəf'ɪnətəv
DEFINITIVELY,dəf'ɪnətəvli
DEFINO,dəf'inoʊ
DEFIORE,dəfi'ori
DEFLATE,dəfl'eɪt
DEFLATED,dəfl'eɪtəd
DEFLATING,dəfl'eɪtəŋ
DEFLATION,dəfl'eɪʃən
DEFLATIONARY,dəfl'eɪʃəneri
DEFLATOR,dəfl'eɪtər
DEFLECT,dəfl'ekt
DEFLECTED,dəfl'ektəd
DEFLECTING,dəfl'ektəŋ
DEFLECTS,dəfl'ekts
DEFLEUR,dəfl'ʌr
DEFOE,dəf'oʊ
DEFOE'S,dəf'oʊz
DEFOLIANT,dəf'oʊliənt
DEFOLIANTS,dəf'oʊliənts
DEFOLLET,dəf'olət
DEFOLLETS,dəf'oləts
DEFOOR,d'efʊr
DEFORD,d'efərd
DEFORD'S,d'efərdz
DEFORE,d'ifor
DEFOREST,dəf'orəst
DEFORESTATION,dəforəst'eɪʃən
DEFORGE,d'efərg
DEFORM,dif'orm
DEFORMATION,diform'eɪʃən
DEFORMED,dəf'ormd
DEFORMITIES,dəf'ormətiz
DEFORMITY,dəf'orməti
DEFORREST,deɪf'orəst|dəf'orəst
DEFRAIN,dəfr'eɪn
DEFRANCE,d'ifrəns
