__IATA__	__ICAO__	__airport name__	__place name__
COF	KCOF	Patrick Air Force Base	Cocoa Beach, Florida, United States
COI	KCOI	Merritt Island Airport	Merritt Island, Florida, United States
COM	KCOM	Coleman Municipal Airport	Coleman, Texas, United States
CON	KCON	Concord Municipal Airport	Concord, New Hampshire, United States
COP		Cooperstown-Westville Airport (FAA: K23)	Cooperstown, New York, United States
COS	KCOS	Colorado Springs Airport	Colorado Springs, Colorado, United States
COT	KCOT	Cotulla-La Salle County Airport	Cotulla, Texas, United States
COU	KCOU	Columbia Regional Airport	Columbia, Missouri, United States
CPM	KCPM	Compton/Woodley Airport	Compton, California, United States
CPR	KCPR	Natrona County International Airport	Casper, Wyoming, United States
CPS	KCPS	St. Louis Downtown Airport	Cahokia, Illinois (near St. Louis, Missouri), United States
CRE	KCRE	Grand Strand Airport	North Myrtle Beach, South Carolina, United States
CRG	KCRG	Craig Municipal Airport	Jacksonville, Florida, United States
CRO	KCRO	Corcoran Airport	Corcoran, California, United States
CRP	KCRP	Corpus Christi International Airport	Corpus Christi, Texas, United States
CRS	KCRS	Corsicana Municipal Airport (C. David Campbell Field)	Corsicana, Texas, United States
CRT	KCRT	Z.M. Jack Stell Field	Crossett, Arkansas, United States
CRW	KCRW	Yeager Airport	Charleston, West Virginia, United States
CRX	KCRX	Roscoe Turner Airport	Corinth, Mississippi, United States
CSE		Buckhorn Ranch Airport (FAA: 0CO2)	Crested Butte, Colorado, United States
CSG	KCSG	Columbus Metropolitan Airport	Columbus, Georgia, United States
CSL	KCSL	O'Sullivan Army Heliport	Camp San Luis Obispo, California, United States
CSM	KCSM	Clinton-Sherman Airport	Clinton, Oklahoma, United States
CSN	KCXP	Carson Airport (FAA: CXP)	Carson City, Nevada, United States
CSP	PACA	Cape Spencer Coast Guard Heliport	Cape Spencer, Alaska|Cape Spencer, Alaska, United States
CSQ	KCSQ	Creston Municipal Airport	Creston, Iowa, United States
CSV	KCSV	Crossville Memorial-Whitson Field	Crossville, Tennessee, United States
CTB	KCTB	Cut Bank Municipal Airport	Cut Bank, Montana, United States
CTH	KMQS	Chester County G. O. Carlson Airport (FAA: MQS)	Coatesville, Pennsylvania, United States
CTK		Canton Municipal Airport (FAA: 7G9)	Canton, South Dakota, United States
CTO		Calverton Executive Airpark (FAA: 3C8)	Calverton, New York, United States
CTW		Cottonwood Airport (FAA: P52)	Cottonwood, Arizona, United States
CTX		Cortland County Airport (Chase Field, FAA: N03)	Cortland, New York, United States
CTY	KCTY	Cross City Airport	Cross City, Florida, United States
CTZ	KCTZ	Sampson County Airport	Clinton, North Carolina, United States
CUB	KCUB	Columbia Owens Downtown Airport	Columbia, South Carolina, United States
CUH	KCUH	Cushing Municipal Airport	Cushing, Oklahoma, United States
CUS		Columbus Municipal Airport (New Mexico)|Columbus Municipal Airport (FAA: 0NM0)	Columbus, New Mexico, United States
CUX		Cuddihy Field (FAA: 07TE)	Corpus Christi, Texas, United States
CVG	KCVG	Cincinnati/Northern Kentucky International Airport	Hebron, Kentucky (near Cincinnati, Ohio), United States
CVN	KCVN	Clovis Municipal Airport	Clovis, New Mexico, United States
CVO	KCVO	Corvallis Municipal Airport	Corvallis, Oregon, United States
CVS	KCVS	Cannon Air Force Base	Clovis, New Mexico, United States
CWA	KCWA	Central Wisconsin Airport	Mosinee, Wisconsin, United States
CWF	KCWF	Chennault International Airport	Lake Charles, Louisiana, United States
CWI	KCWI	Clinton Municipal Airport (Iowa)|Clinton Municipal Airport	Clinton, Iowa, United States
CWS		Center Island Airport (FAA: 78WA)	Center Island (Washington)|Center Island, Washington (U.S. state)|Washington, United States
CXC		Chitina Airport	Chitina, Alaska, United States
CXF	PACX	Coldfoot Airport	Coldfoot, Alaska, United States
CXL	KCXL	Calexico International Airport	Calexico, California, United States
CXO	KCXO	Lone Star Executive Airport	Houston, Texas, United States
CYF	PACK	Chefornak Airport (FAA: CFK)	Chefornak, Alaska, United States
CYM		Chatham Seaplane Base	Chatham, Alaska|Chatham, Alaska, United States
CYS	KCYS	Cheyenne Regional Airport (Jerry Olson Field)	Cheyenne, Wyoming, United States
CYT	PACY	Yakataga Airport	Cape Yakataga, Alaska|Cape Yakataga, Alaska, United States
CZC		Copper Center 2 Airport (FAA: Z93)	Copper Center, Alaska, United States
CZF	PACZ	Cape Romanzof Long Range Radar Station	Cape Romanzof, Alaska|Cape Romanzof, Alaska, United States
CZK	KCZK	Cascade Locks State Airport	Cascade Locks, Oregon, United States
CZN		Chisana Airport	Chisana, Alaska, United States
CZO		Chistochina Airport	Chistochina, Alaska, United States
CZP		Cape Pole Seaplane Base (FAA: Z71)	Cape Pole, Alaska|Cape Pole, Alaska, United States
CZT	KCZT	Dimmit County Airport	Carrizo Springs, Texas, United States
DAA	KDAA	Davison Army Airfield	Fort Belvoir, Virginia, United States
DAB	KDAB	Daytona Beach International Airport	Daytona Beach, Florida, United States
DAG	KDAG	Barstow-Daggett Airport	Daggett, California, United States
DAL	KDAL	Dallas Love Field	Dallas, Texas, United States
DAN	KDAN	Danville Regional Airport	Danville, Virginia, United States
DAY	KDAY	James M. Cox International Airport	Dayton, Ohio, United States
DBN	KDBN	W. H. 'Bud' Barron Airport	Dublin, Georgia, United States
DBQ	KDBQ	Dubuque Regional Airport	Dubuque, Iowa, United States
DBS		Dubois Municipal Airport (FAA: U41)	Dubois, Idaho, United States
DCA	KDCA	Ronald Reagan Washington National Airport	Arlington County, Virginia (near Washington, D.C.), United States
DCK		Dahl Creek Airport	Dahl Creek, Alaska, United States
DCR	KDCR	Decatur Hi-Way Airport (closed)	Decatur, Indiana, United States
DCU	KDCU	Pryor Field Regional Airport	Decatur, Alabama, United States
DDC	KDDC	Dodge City Regional Airport	Dodge City, Kansas, United States
DEC	KDEC	Decatur Airport	Decatur, Illinois, United States
DEH	KDEH	Decorah Municipal Airport	Decorah, Iowa, United States
DEN	KDEN	Denver International Airport (succeeded Stapleton Airport)	Denver, Colorado, United States
DET	KDET	Coleman A. Young International Airport	Detroit, Michigan, United States
DFI	KDFI	Defiance Memorial Airport	Defiance, Ohio, United States
DFW	KDFW	Dallas-Fort Worth International Airport	Dallas, Texas|Dallas and Fort Worth, Texas, United States
DGL	KDGL	Douglas Municipal Airport (Arizona)|Douglas Municipal Airport	Douglas, Arizona, United States
DGN	KNDY	Dahlgren Naval Surface Warfare Center (FAA: NDY)	Dahlgren, Virginia, United States
DGW	KDGW	Converse County Airport	Douglas, Wyoming, United States
DHN	KDHN	Dothan Regional Airport	Dothan, Alabama, United States
DHT	KDHT	Dalhart Municipal Airport	Dalhart, Texas, United States
DIK	KDIK	Theodore Roosevelt Regional Airport	Dickinson, North Dakota, United States
DIO		Diomede Heliport (FAA: DM2)	Diomede, Alaska, United States
DJN	PABI	Delta Junction Airport (FAA: D66)	Delta Junction, Alaska, United States
DKK	KDKK	Chautauqua County/Dunkirk Airport	Dunkirk, New York, United States
DLF	KDLF	Laughlin Air Force Base	Del Rio, Texas, United States
DLG	PADL	Dillingham Airport	Dillingham, Alaska, United States
DLH	KDLH	Duluth International Airport	Duluth, Minnesota, United States
DLL	KDLC	Dillon County Airport (FAA: DLC)	Dillon, South Carolina, United States
DLN	KDLN	Dillon Airport	Dillon, Montana, United States
DLS	KDLS	Columbia Gorge Regional Airport (The Dalles Municipal Airport)	The Dalles, Oregon, United States
DMA	KDMA	Davis Monthan Air Force Base	Tucson, Arizona, United States
DMN	KDMN	Deming Municipal Airport	Deming, New Mexico, United States
DMO	KDMO	Sedalia Memorial Airport	Sedalia, Missouri, United States
DNL	KDNL	Daniel Field	Augusta, Georgia, United States
DNN	KDNN	Dalton Municipal Airport	Dalton, Georgia, United States
DNS	KDNS	Denison Municipal Airport	Denison, Iowa, United States
DNV	KDNV	Vermilion County Airport	Danville, Illinois, United States
DOV	KDOV	Dover Air Force Base	Dover, Delaware, United States
DPA	KDPA	Dupage Airport	West Chicago, Illinois, United States
DPG	KDPG	Michael Army Airfield	Dugway Proving Ground, Utah, United States
DQH	PALP	Alpine Airstrip (FAA: AK15)	Deadhorse, Alaska, United States
DRA	KDRA	Desert Rock Airport	Mercury, Nevada, United States
DRE	KDRM	Drummond Island Airport (FAA: DRM)	Drummond Island, Michigan, United States
DRG	PADE	Deering Airport (FAA: DEE)	Deering, Alaska, United States
DRI	KDRI	Beauregard Regional Airport	De Ridder, Louisiana, United States
DRO	KDRO	Durango-La Plata County Airport	Durango, Colorado, United States
DRT	KDRT	Del Rio International Airport	Del Rio, Texas, United States
DRU		Drummond Airport (FAA: M26)	Drummond, Montana, United States
DSI	KDTS	Destin-Fort Walton Beach Airport (FAA: DTS)	Destin, Florida, United States
DSM	KDSM	Des Moines International Airport	Des Moines, Iowa, United States
DSV	KDSV	Dansville Municipal Airport	Dansville, New York, United States
DTA	KDTA	Delta Municipal Airport	Delta, Utah, United States
DTH		Death Valley National Park Airport	Death Valley, United States
DTL	KDTL	Detroit Lakes Airport (Wething Field)	Detroit Lakes, Minnesota, United States
DTN	KDTN	Shreveport Downtown Airport	Shreveport, Louisiana, United States
DTT		All Airports	Detroit, Michigan, United States
DTW	KDTW	Detroit Metropolitan Wayne County Airport	Romulus, Michigan|Romulus (near Detroit), Michigan, United States
DUA	KDUA	Eaker Field	Durant, Oklahoma, United States
DUC	KDUC	Halliburton Field (airport)|Halliburton Field	Duncan, Oklahoma, United States
DUF		Pine Island Airport (FAA: 7NC2)	Corolla, North Carolina, United States
DUG	KDUG	Bisbee-Douglas International Airport	Bisbee, Arizona|Bisbee/Douglas, Arizona, United States
DUJ	KDUJ	DuBois Regional Airport (formerly DuBois-Jefferson County Airport)	DuBois, Pennsylvania, United States
DUT	PADU	Unalaska Airport	Unalaska, Alaska, United States
DVL	KDVL	Devils Lake Municipal Airport	Devils Lake, North Dakota, United States
DVN	KDVN	Davenport Municipal Airport (Iowa)|Davenport Municipal Airport	Davenport, Iowa, United States
DVT	KDVT	Phoenix Deer Valley Airport	Phoenix, Arizona, United States
DWH	KDWH	David Wayne Hooks Memorial Airport	Houston, Texas, United States
DWN		Downtown Airpark (FAA: OK03)	Oklahoma City, Oklahoma, United States
DWS		Walt Disney World Airport (no FAA code)	Walt Disney World / Orlando, Florida, United States http://www.airfields-freeman.com/FL/Airfields_FL_OrlandoSW.htm#disney
DXR	KDXR	Danbury Municipal Airport	Danbury, Connecticut, United States
DYL	KDYL	Doylestown Airport	Doylestown, Pennsylvania, United States
DYS	KDYS	Dyess Air Force Base	Abilene, Texas, United States
EAA	PAEG	Eagle Airport	Eagle, Alaska, United States
EAN	KEAN	Phifer Airfield	Wheatland, Wyoming, United States
EAR	KEAR	Kearney Regional Airport	Kearney, Nebraska, United States
EAT	KEAT	Pangborn Memorial Airport	Wenatchee, Washington, United States
EAU	KEAU	Chippewa Valley Regional Airport	Eau Claire, Wisconsin, United States
EBS	KEBS	Webster City Municipal Airport	Webster City, Iowa, United States
ECA		Iosco County Airport (FAA: 6D9)	East Tawas, Michigan, United States
ECG	KECG	Elizabeth City Regional Airport / Elizabeth City CGAS	Elizabeth City, North Carolina, United States
ECP	KECP	Northwest Florida Beaches International Airport	Panama City, Florida, United States
ECS	KECS	Mondell Field	Newcastle, Wyoming, United States
EDA		Edna Bay Municipal Airport (or Seaplane Base?)	Edna Bay, Alaska, United States
EDE	KEDE	Northeastern Regional Airport	Edenton, North Carolina, United States
EDF	PAED	Elmendorf Air Force Base	Anchorage, Alaska, United States
EDG	KEDG	Weide Army Airfield	Edgewood Arsenal, Maryland, United States
EDK	KEQA	Captain Jack Thomas/El Dorado Airport (FAA: EQA)	El Dorado, Kansas, United States
EDW	KEDW	Edwards Air Force Base	Edwards, California, United States
EED	KEED	Needles Airport	Needles, California, United States
EEK	PAEE	Eek Airport	Eek, Alaska, United States
EEN	KEEN	Dillant-Hopkins Airport	Keene, New Hampshire, United States
EFD	KEFD	Ellington Field	Houston, Texas, United States
EFK	KEFK	Newport State Airport (Vermont)|Newport State Airport	Newport, Vermont, United States
EFW	KEFW	Jefferson Municipal Airport	Jefferson, Iowa, United States
EGE	KEGE	Eagle County Regional Airport	Eagle, Colorado (near Vail, Colorado|Vail), United States
EGI	KEGI	Duke Field (Eglin Auxiliary Field 3)	Crestview, Florida, United States
EGP		Maverick County Airport	Eagle Pass, Texas, United States
EGV	KEGV	Eagle River Union Airport	Eagle River, Wisconsin, United States
EGX	PAII	Egegik Airport (FAA: EII)	Egegik, Alaska, United States
EHM	PAEH	Cape Newenham LRRS Airport	Cape Newenham, Alaska, United States
EHT		Rentschler Heliport (FAA: CT88)	East Hartford, Connecticut, United States
EIL	PAEI	Eielson Air Force Base	Fairbanks, Alaska, United States
EKA	KEKA	Murray Field	Eureka, California, United States
EKI	KEKM	Elkhart Municipal Airport (FAA: EKM)	Elkhart, Indiana, United States
EKN	KEKN	Elkins-Randolph Co.-Jennings Randolph Field	Elkins, West Virginia, United States
EKO	KEKO	Elko Regional Airport	Elko, Nevada, United States
EKX	KEKX	Addington Field (Elizabethtown Regional Airport)	Elizabethtown, Kentucky, United States
ELA	KELA	Eagle Lake Airport	Eagle Lake, Texas, United States
ELD	KELD	South Arkansas Regional Airport at Goodwin Field	El Dorado, Arkansas, United States
ELI	PFEL	Elim Airport	Elim, Alaska, United States
ELK	KELK	Elk City Municipal Airport	Elk City, Oklahoma, United States
ELM	KELM	Elmira/Corning Regional Airport	Elmira, New York|Elmira/Big Flats, New York|Big Flats, New York, United States
ELN	KELN	Bowers Field	Ellensburg, Washington, United States
ELP	KELP	El Paso International Airport	El Paso, Texas, United States
ELV	PAEL	Elfin Cove Seaplane Base	Elfin Cove, Alaska, United States
ELW		Ellamar Seaplane Base (FAA: 1Z9)	Ellamar, Alaska, United States
ELY	KELY	Ely Airport	Ely, Nevada, United States
ELZ	KELZ	Wellsville Municipal Airport (Tarantine Field)	Wellsville, New York, United States
EMK	PAEM	Emmonak Airport (FAA: ENM)	Emmonak, Alaska, United States
EMM	KEMM	Kemmerer Municipal Airport	Kemmerer, Wyoming, United States
EMP	KEMP	Emporia Municipal Airport	Emporia, Kansas, United States
EMT	KEMT	El Monte Airport	El Monte, California, United States
ENA	PAEN	Kenai Municipal Airport	Kenai, Alaska, United States
END	KEND	Vance Air Force Base	Enid, Oklahoma, United States
ENL	KENL	Centralia Municipal Airport	Centralia, Illinois, United States
ENN	PANN	Nenana Municipal Airport	Nenana, Alaska, United States
ENV	KENV	Wendover Airport	Wendover, Utah, United States
ENW	KENW	Kenosha Regional Airport	Kenosha, Wisconsin, United States
EOK	KEOK	Keokuk Municipal Airport	Keokuk, Iowa, United States
EOS	KEOS	Neosho Hugh Robinson Airport	Neosho, Missouri, United States
EPG		Browns Airport (FAA: NE69)	Weeping Water, Nebraska, United States
EPH	KEPH	Ephrata Municipal Airport	Ephrata, Washington, United States
ERI	KERI	Erie International Airport (Tom Ridge Field)	Erie, Pennsylvania, United States
ERR	KERR	Errol Airport	Errol, New Hampshire, United States
ERV	KERV	Kerrville Municipal Airport (Louis Schreiner Field)	Kerrville, Texas, United States
ESC	KESC	Delta County Airport	Escanaba, Michigan, United States
ESD	KORS	Orcas Island Airport (FAA: ORS)	Eastsound, Washington, United States
ESF	KESF	Esler Regional Airport	Alexandria, Louisiana, United States
ESN	KESN	Easton/Newnam Field	Easton, Maryland, United States
ESO		Ohkay Owingeh Airport (FAA: E14)	Española, New Mexico, United States
ESP		Stroudsburg-Pocono Airport (FAA: N53)	East Stroudsburg, Pennsylvania, United States
EST	KEST	Estherville Municipal Airport	Estherville, Iowa, United States
ESW	KESW	Easton State Airport	Easton, Washington, United States
ETB	KETB	West Bend Municipal Airport	West Bend, Wisconsin, United States
ETN	KETN	Eastland Municipal Airport	Eastland, Texas, United States
ETS	KEDN	Enterprise Municipal Airport (Alabama)|Enterprise Municipal Airport (FAA: EDN)	Enterprise, Alabama, United States
EUE		Eureka Airport (Nevada)|Eureka Airport (FAA: 05U)	Eureka, Nevada, United States
EUF	KEUF	Weedon Field	Eufaula, Alabama, United States
EUG	KEUG	Mahlon Sweet Airport|Eugene Airport / Mahlon Sweet Field	Eugene, Oregon, United States
EVA		Ben Bruce Memorial Airpark (FAA: 4TE8)	Evadale, Texas, United States
EVM	KEVM	Eveleth-Virginia Municipal Airport	Eveleth, Minnesota, United States
EVV	KEVV	Evansville Regional Airport	Evansville, Indiana, United States
EVW	KEVW	Evanston-Uinta County Burns Field	Evanston, Wyoming, United States
EWB	KEWB	New Bedford Regional Airport	New Bedford, Massachusetts, United States
EWK	KEWK	Newton City/County Airport	Newton, Kansas, United States
EWN	KEWN	Craven County Regional Airport	New Bern, North Carolina, United States
EWR	KEWR	Newark Liberty International Airport	Newark, New Jersey|Newark/Elizabeth, New Jersey|Elizabeth, New Jersey, United States
EXI		Excursion Inlet Seaplane Base	Excursion Inlet, Alaska, United States
EYW	KEYW	Key West International Airport	Key West, Florida, United States
FAF	KFAF	Felker Army Airfield	Fort Eustis, Virginia, United States
FAI	PAFA	Fairbanks International Airport	Fairbanks, Alaska, United States
FAJ	TJFA	Diego Jimenez Torres Airport (FAA: X95)	Fajardo, Puerto Rico, United States
FAK		False Island Seaplane Base (FAA: 2Z6)	False Island, Alaska, United States
FAM	KFAM	Farmington Regional Airport	Farmington, Missouri, United States
FAR	KFAR	Hector International Airport	Fargo, North Dakota, United States
FAT	KFAT	Fresno Yosemite International Airport	Fresno, California, United States
FAY	KFAY	Fayetteville Regional Airport (Grannis Field)	Fayetteville, North Carolina, United States
FBG	KFBG	Simmons Army Airfield	Fort Bragg, North Carolina, United States
FBK	PAFB	Wainwright Army Airfield	Fairbanks, Alaska|Fairbanks / Fort Wainwright, Alaska|Fort Wainwright, Alaska, United States
FBL	KFBL	Faribault Municipal Airport	Faribault, Minnesota, United States
FBR	KFBR	Fort Bridger Airport	Fort Bridger, Wyoming, United States
FBS		Friday Harbor Seaplane Base (FAA: W33)	Friday Harbor, Washington, United States
FBY	KFBY	Fairbury Municipal Airport	Fairbury, Nebraska, United States
FCA	KGPI	Glacier Park International Airport (FAA: GPI)	Kalispell, Montana, United States
FCH	KFCH	Fresno Chandler Executive Airport	Fresno, California, United States
FCM	KFCM	Flying Cloud Airport	Eden Prairie, Minnesota, United States
FCS	KFCS	Butts Army Airfield (Fort Carson)	Fort Carson, Colorado, United States
FCT	KFCT	Vagabond Army Airfield	Yakima, Washington, United States
FCY	KFCY	Forrest City Municipal Airport	Forrest City, Arkansas, United States
FDK	KFDK	Frederick Municipal Airport (Maryland)|Frederick Municipal Airport	Frederick, Maryland, United States
FDR	KFDR	Frederick Municipal Airport (Oklahoma)|Frederick Municipal Airport	Frederick, Oklahoma, United States
FDY	KFDY	Findlay Airport	Findlay, Ohio, United States
FEP	KFEP	Albertus Airport	Freeport, Illinois, United States
FET	KFET	Fremont Municipal Airport (Nebraska)|Fremont Municipal Airport	Fremont, Nebraska, United States
FEW	KFEW	Francis E. Warren Air Force Base	Cheyenne, Wyoming, United States
FFA	KFFA	First Flight Airport	Kill Devil Hills, North Carolina, United States
FFL	KFFL	Fairfield Municipal Airport (Iowa)|Fairfield Municipal Airport	Fairfield, Iowa, United States
FFM	KFFM	Fergus Falls Municipal Airport (Einar Mickelson Field)	Fergus Falls, Minnesota, United States
FFO	KFFO	Wright-Patterson Air Force Base	Dayton, Ohio, United States
FFT	KFFT	Capital City Airport (Kentucky)|Capital City Airport	Frankfort, Kentucky, United States
FHU	KFHU	Sierra Vista Municipal Airport / Libby Army Airfield	Fort Huachuca, Sierra Vista, Arizona, United States
FID		Elizabeth Field (FAA: 0B8)	Fishers Island, New York, United States
FIL	KFOM	Fillmore Municipal Airport (FAA: FOM)	Fillmore, Utah, United States
FIV		Five Finger Coast Guard Heliport (FAA: 2AK3)	Five Finger, Alaska|Five Finger, Alaska, United States
FKL	KFKL	Venango Regional Airport (Chess Lamberton Field)	Franklin, Pennsylvania, United States
FKN	KFKN	Franklin Municipal Airport (John Beverly Rose Field)	Franklin, Virginia, United States
FLD	KFLD	Fond du Lac County Airport	Fond du Lac, Wisconsin, United States
FLE		Fort Lee Army Airfield (FAA: VA35)	Fort Lee (Virginia)|Fort Lee, Virginia, United States
FLG	KFLG	Flagstaff Pulliam Airport	Flagstaff, Arizona, United States
FLL	KFLL	Fort Lauderdale-Hollywood International Airport	Fort Lauderdale, Florida|Fort Lauderdale / Hollywood, Florida|Hollywood, Florida, United States
FLO	KFLO	Florence Regional Airport	Florence, South Carolina, United States
FLP	KFLP	Marion County Regional Airport	Flippin, Arkansas, United States
FLT		Flat Airport	Flat, Alaska, United States
FLU	KFLU	Flushing Airport	Flushing, Queens|Flushing, New York, United States
FLV	KFLV	Sherman Army Airfield	Fort Leavenworth, Kansas, United States
FLX	KFLX	Fallon Municipal Airport	Fallon, Nevada, United States
FMC	PAFV	Five Mile Airport (FAA: FVM)	Five Mile, Alaska|Five Mile, Alaska, United States
FME	KFME	Tipton Airport (Fort Meade)	Odenton, Maryland, United States
FMH	KFMH	Otis ANGB (Cape Cod CGAS)	Falmouth, Massachusetts, United States
FMN	KFMN	Four Corners Regional Airport	Farmington, New Mexico, United States
FMS	KFSW	Fort Madison Municipal Airport (FAA: FSW)	Fort Madison, Iowa, United States
FMY	KFMY	Page Field	Fort Myers, Florida, United States
FNL	KFNL	Fort Collins-Loveland Municipal Airport	Fort Collins, Colorado|Fort Collins/Loveland, Colorado|Loveland, Colorado, United States
FNR	PANR	Funter Bay Seaplane Base	Funter Bay, Alaska, United States
FNT	KFNT	Bishop International Airport	Flint, Michigan, United States
FOB		Fort Bragg Airport (FAA: 82CL)	Fort Bragg, California, United States
FOD	KFOD	Fort Dodge Regional Airport	Fort Dodge, Iowa, United States
FOE	KFOE	Forbes Field	Topeka, Kansas, United States
FOK	KFOK	Francis S. Gabreski Airport	Westhampton Beach, New York, United States
FOT	KFOT	Rohnerville Airport	Fortuna, California, United States
FPR	KFPR	St. Lucie County International Airport	Fort Pierce, Florida, United States
FPY		Perry-Foley Airport (FAA: 40J)	Perry, Florida, United States
FRD	KFHR	Friday Harbor Airport (FAA: FHR)	Friday Harbor, Washington, United States
FRG	KFRG	Republic Airport	East Farmingdale, New York, United States
FRH	KFRH	French Lick Municipal Airport	French Lick, Indiana, United States
FRI	KFRI	Marshall Army Airfield (Fort Riley)	Junction City, Kansas, United States
FRM	KFRM	Fairmont Municipal Airport (Minnesota)|Fairmont Municipal Airport	Fairmont, Minnesota, United States
FRN	PAFR	Bryant Army Heliport / Bryant AAF	Fort Richardson, Anchorage, Alaska, United States
FRR	KFRR	Front Royal-Warren County Airport	Front Royal, Virginia, United States
FRY	KIZG	Eastern Slopes Regional Airport (FAA: IZG)	Fryeburg, Maine, United States
FSD	KFSD	Sioux Falls Regional Airport (Joe Foss Field)	Sioux Falls, South Dakota, United States
FSI	KFSI	Henry Post Army Airfield (Fort Sill)	Fort Sill, Oklahoma, United States
FSK	KFSK	Fort Scott Municipal Airport	Fort Scott, Kansas, United States
FSM	KFSM	Fort Smith Regional Airport	Fort Smith, Arkansas, United States
FST	KFST	Fort Stockton-Pecos County Airport	Fort Stockton, Texas, United States
FSU	KFSU	Fort Sumner Municipal Airport	Fort Sumner, New Mexico, United States
FTI	NSFQ	Fitiuta Airport (FAA: FAQ)	Fitiuta, American Samoa|Fiti‘uta, American Samoa, United States
FTK	KFTK	Godman Army Airfield	Fort Knox, Kentucky, United States
FTW	KFTW	Fort Worth Meacham International Airport	Fort Worth, Texas, United States
FTY	KFTY	Fulton County Airport (Georgia)|Fulton County Airport (Brown Field)	Atlanta, Georgia, United States
FUL	KFUL	Fullerton Municipal Airport	Fullerton, California, United States
FWA	KFWA	Fort Wayne International Airport	Fort Wayne, Indiana, United States
FWH	KNFW	Naval Air Station Joint Reserve Base Fort Worth|NAS JRB Fort Worth / Carswell Field (FAA: NFW)	Fort Worth, Texas, United States
FWL	PAFW	Farewell Airport	Farewell, Alaska|Farewell, Alaska, United States
FXE	KFXE	Fort Lauderdale Executive Airport	Fort Lauderdale, Florida, United States
FXY	KFXY	Forest City Municipal Airport	Forest City, Iowa, United States
FYM	KFYM	Fayetteville Municipal Airport (Tennessee)|Fayetteville Municipal Airport	Fayetteville, Tennessee, United States
FYU	PFYU	Fort Yukon Airport	Fort Yukon, Alaska, United States
FYV	KFYV	Drake Field	Fayetteville, Arkansas, United States
GAB	KGAB	Gabbs Airport	Gabbs, Nevada, United States
GAD	KGAD	Northeast Alabama Regional Airport	Gadsden, Alabama, United States
GAG	KGAG	Gage Airport	Gage, Oklahoma, United States
GAI	KGAI	Montgomery County Airpark	Gaithersburg, Maryland, United States
GAL	PAGA	Edward G. Pitka Sr. Airport	Galena, Alaska, United States
GAM	PAGM	Gambell Airport	Gambell, Alaska, United States
GBD	KGBD	Great Bend Municipal Airport	Great Bend, Kansas, United States
GBG	KGBG	Galesburg Municipal Airport	Galesburg, Illinois, United States
GBH	PAGB	Galbraith Lake Airport	Galbraith Lake, Alaska, United States
GBR	KGBR	Walter J. Koladza Airport	Great Barrington, Massachusetts, United States
GCC	KGCC	Gillette-Campbell County Airport	Gillette, Wyoming, United States
GCK	KGCK	Garden City Regional Airport	Garden City, Kansas, United States
GCN	KGCN	Grand Canyon National Park Airport	Tusayan, Arizona, United States
GCY	KGCY	Greeneville-Greene County Municipal Airport	Greeneville, Tennessee, United States
GDC	KGYH	Donaldson Center Airport (FAA: GYH)	Greenville, South Carolina|Greenville, South Carolina, United States
GDH		Golden Horn Lodge Seaplane Base (FAA: 3Z8)	Golden Horn Lodge, Alaska, United States
GDM	KGDM	Gardner Municipal Airport (Massachusetts)|Gardner Municipal Airport	Gardner, Massachusetts, United States
GDV	KGDV	Dawson Community Airport	Glendive, Montana, United States
GDW	KGDW	Gladwin Zettel Memorial Airport	Gladwin, Michigan, United States
GED	KGED	Sussex County Airport	Georgetown, Delaware, United States
GEG	KGEG	Spokane International Airport	Spokane, Washington, United States
GEO	KGEO	Brown County Airport	Georgetown, Ohio, United States
GEY	KGEY	South Big Horn County Airport	Greybull, Wyoming, United States
GFA	KGFA	Malmstrom Air Force Base (heliport)	Great Falls, Montana, United States
GFD	KGFD	Pope Field	Greenfield, Indiana, United States
GFK	KGFK	Grand Forks International Airport	Grand Forks, North Dakota, United States
GFL	KGFL	Floyd Bennett Memorial Airport	Glens Falls, New York, United States
GGE	KGGE	Georgetown County Airport	Georgetown, South Carolina, United States
GGG	KGGG	East Texas Regional Airport	Longview, Texas, United States
GGW	KGGW	Glasgow Airport (U.S.)|Glasgow Airport (Wokal Field)	Glasgow, Montana, United States
GHM	KGHM	Centerville Municipal Airport (Tennessee)|Centerville Municipal Airport	Centerville, Tennessee, United States
GIF	KGIF	Winter Haven's Gilbert Airport	Winter Haven, Florida, United States
GJT	KGJT	Grand Junction Regional Airport (Walker Field)	Grand Junction, Colorado, United States
GKN	PAGK	Gulkana Airport	Gulkana, Alaska, United States
GKT	KGKT	Gatlinburg-Pigeon Forge Airport	Sevierville, Tennessee, United States
GLD	KGLD	Goodland Municipal Airport (Renner Field)	Goodland, Kansas, United States
GLE	KGLE	Gainesville Municipal Airport	Gainesville, Texas, United States
GLH	KGLH	Mid-Delta Regional Airport	Greenville, Mississippi, United States
GLR	KGLR	Gaylord Regional Airport	Gaylord, Michigan, United States
GLS	KGLS	Scholes International Airport at Galveston	Galveston, Texas, United States
GLV	PAGL	Golovin Airport	Golovin, Alaska, United States
GLW	KGLW	Glasgow Municipal Airport	Glasgow, Kentucky, United States
GMJ	KGMJ	Grove Municipal Airport	Grove, Oklahoma, United States
GMT	PAGZ	Granite Mountain Air Station (FAA: GSZ)	Granite Mountain, Alaska|Granite Mountain, Alaska, United States
GMU	KGMU	Greenville Downtown Airport	Greenville, South Carolina, United States
