AAA	NTGA	Anaa Airport	Anaa, Tuamotus, French Polynesia
BYL		Bella Yella Airport	Bella Yella, Liberia
BYM	MUBY	Carlos Manuel de Céspedes Airport	Bayamo, Cuba
BYN	ZMBH	Bayankhongor Airport	Bayankhongor, Mongolia
BYQ	WALV	Bunyu Airport	Bunyu, Kalimantan (Borneo), Indonesia
BYR	EKLS	Læsø Airport	Læsø, Denmark
BYS	KBYS	Bicycle Lake Army Airfield (Fort Irwin)	Barstow, California, United States
BYT	EIBN	Bantry Airport	Bantry, County Cork, Ireland
BYU	EDQD	Bindlacher Berg Airport	Bayreuth, Bavaria, Germany
BYW		Blakely Island Airport (FAA: 38WA)	Blakely Island, Washington, United States
BYX		Baniyala Airport	Baniyala, Northern Territory|Baniyala, Northern Territory, Australia
BZA	MNBZ	Bonanza Airport	Bonanza, Región Autónoma del Atlántico Norte|Bonanza, Región Autónoma del Atlántico Norte|RAAN, Nicaragua
BZB		Bazaruto Island Airport	Bazaruto Island, Mozambique
BZC	SBBZ	Umberto Modiano Airport	Búzios, Rio de Janeiro, Brazil
BZD	YBRN	Balranald Airport	Balranald, New South Wales, Australia
BZE	MZBZ	Philip S. W. Goldson International Airport	Ladyville (near Belize City), Belize
BZG	EPBY	Bydgoszcz Ignacy Jan Paderewski Airport	Bydgoszcz, Poland
BZI	LTBF	Balıkesir Airport (Merkez Airport)	Balıkesir, Turkey
BZK	UUBP	Briansk Airport	Briansk (Bryansk), Russia
BZL	VGBR	Barisal Airport	Barisal, Bangladesh
BZN	KBZN	Gallatin Field Airport	Bozeman, Montana, United States
BZO	LIPB	Bolzano Airport	Bolzano, Italy
BZP		Bizant Airport	Bizant, Queensland|Bizant, Queensland, Australia
BZR	LFMU	Béziers Vias Airport	Béziers, France
BZU	FZKJ	Buta Zega Airport	Buta Zega, Democratic Republic of the Congo
BZV	FCBB	Maya Maya Airport	Brazzaville, Republic of the Congo
BZY	LUBL	Bălţi International Airport	Bălţi, Moldova
BZZ	EGVN	RAF Brize Norton	Oxfordshire, England, United Kingdom
CAA	MHCA	Catacamas Airport	Catacamas, Honduras
CAB	FNCA	Cabinda Airport	Cabinda (city)|Cabinda, Angola
CAC	SBCA	Cascavel Airport	Cascavel, Paraná (state)|Paraná, Brazil
CAD	KCAD	Wexford County Airport	Cadillac, Michigan, United States
CAE	KCAE	Columbia Metropolitan Airport	West Columbia, South Carolina|West Columbia (near Columbia, South Carolina|Columbia), South Carolina, United States
CAF	SWCA	Carauari Airport	Carauari, Amazonas (Brazilian state)|Amazonas, Brazil
CAG	LIEE	Cagliari Airport	Cagliari, Italy
CAH	VVCM	Ca Mau Airport	Ca Mau Province|Ca Mau, Vietnam
CAI	HECA	Cairo International Airport	Cairo, Egypt
CAJ	SVCN	Canaima Airport	Canaima, Venezuela
CAK	KCAK	Akron-Canton Regional Airport	Akron, Ohio|Akron / Canton, Ohio, United States
CAL	EGEC	Campbeltown Airport (RAF Machrihanish)	Campbeltown, Scotland
CAM	SLCA	Camiri Airport	Camiri, Bolivia
CAN	ZGGG	Guangzhou Baiyun International Airport	Guangzhou, Guangdong, People's Republic of China|China
CAO	KCAO	Clayton Municipal Airpark	Clayton, New Mexico, United States
CAP	MTCH	Cap-Haïtien International Airport	Cap-Haïtien, Haiti
CAQ	SKCU	Caucasia Airport	Caucasia, Antioquia, Colombia
CAR	KCAR	Caribou Municipal Airport	Caribou, Maine, United States
CAS	GMMC	Anfa Airport	Casablanca, Morocco
CAT	MYCB	New Bight Airport	Cat Island, Bahamas
CAU	SNRU	Oscar Laranjeias Airport	Caruaru, Pernambuco, Brazil
CAV	FNCZ	Cazombo Airport	Cazombo, Angola
CAW	SBCP	Bartolomeu Lisandro Airport	Campos dos Goitacazes, Rio de Janeiro, Brazil
CAX	EGNC	Carlisle Airport	City of Carlisle|Carlisle, England, United Kingdom
CAY	SOCA	Cayenne-Rochambeau Airport	Cayenne, French Guiana
CAZ	YCBA	Cobar Airport	Cobar, New South Wales, Australia
CBB	SLCB	Jorge Wilstermann International Airport	Cochabamba, Bolivia
CBC		Cherrabun Airport	Cherrabun, Western Australia, Australia
CBD	VOCX	Car Nicobar Air Force Base	Car Nicobar, India
CBE	KCBE	Greater Cumberland Regional Airport	Cumberland, Maryland, United States
CBF	KCBF	Council Bluffs Municipal Airport	Council Bluffs, Iowa, United States
CBG	EGSC	Cambridge Airport	Cambridge, England, United Kingdom
CBH	DAOR	Boudghene Ben Ali Lotfi Airport	Béchar, Algeria
CBI		Cape Barren Island Airport	Cape Barren Island, Tasmania, Australia
CBJ	MDCR	Cabo Rojo Airport	Pedernales, Dominican Republic|Pedernales, Dominican Republic
CBK	KCBK	Colby Municipal Airport (Shalz Field)	Colby, Kansas, United States
CBL	SVCB	Tomás de Heres Airport	Ciudad Bolívar, Venezuela
CBM	KCBM	Columbus Air Force Base	Columbus, Mississippi, United States
CBN	WICD	Penggung Airport	Cirebon, Java, Indonesia
CBO	RPMC	Awang Airport	Cotabato City, Philippines
CBP	LPCO	Coimbra Airport (Aeródromo Municipal Bissaya Barreto)	Coimbra, Portugal
CBQ	DNCA	Calabar Airport	Calabar, Nigeria
CBR	YSCB	Canberra International Airport	Canberra, Australia
CBS	SVON	Oro Negro Airport	Cabimas, Venezuela
CBT	FNCT	Catumbela Airport	Catumbela, Angola
CBU	EDCD	Cottbus-Drewitz Airport	Cottbus, Brandenburg, Germany
CBV	MGCB	Cobán Airport	Cobán, Alta Verapaz Department|Alta Verapaz, Guatemala
CBW	SSKM	Campo Mourão Airport	Campo Mourão, Paraná (state)|Paraná, Brazil
CBX	YCDO	Condobolin Airport	Condobolin, New South Wales, Australia
CBY		Canobie Airport	Canobie, Queensland, Australia
CCB	KCCB	Cable Airport	Upland, California, United States
CCC	MUOC	Jardines del Rey Airport	Cayo Coco, Cuba
CCD		Century City Heliport (FAA: 84CL)	Los Angeles, California, United States
CCE	TFFG	L'Espérance Airport (Grand Case Airport)	Saint Martin, Guadeloupe
CCF	LFMK	Carcassonne Salvaza Airport	Carcassonne, France
CCG		Crane County Airport (FAA: E13)	Crane, Texas, United States
CCH	SCCC	Chile Chico Airport	Chile Chico, Aisén Region, Chile
CCI	SSCK	Concórdia Airport	Concórdia, Amazonas (Brazilian state)|Amazonas, Brazil
CCJ	VOCL	Calicut Airport	Kozhikode (Calicut), India
CCK		Cocos Islands Airport	Cocos Islands, Australia
CCL	YCCA	Chinchilla Airport	Chinchilla, Queensland, Australia
CCM	SBCM	Forquilhinha Airport	Criciúma, Santa Catarina (state)|Santa Catarina, Brasil
CCN	OACC	Chaghcharan Airport	Chaghcharan, Afghanistan
CCO	SKCI	Carimagua Airport	Puerto López, Meta|Puerto López, Department of Meta|Meta, Colombia
CCP	SCIE	Carriel Sur International Airport	Concepción, Chile|Concepción, Biobío Region, Chile
CCQ		Cachoeira Airport	Cachoeira, Bahia, Brazil
CCR	KCCR	Buchanan Field	Concord, California, United States
CCS	SVMI	Simón Bolívar International Airport (Venezuela)|Simón Bolívar International Airport	Maiquetia (near Caracas), Venezuela
CCT		Colonia Catriel Airport	Colonia Catriel, Río Negro Province|Río Negro, Argentina
CCU	VECC	Netaji Subhash Chandra Bose International Airport	Dum Dum (near Kolkata, India|Kolkata), India
CCV	NVSF	Craig Cove Airport	Craig Cove, Ambrym|Ambrym Island, Malampa Province|Malampa, Vanuatu
CCW	YCWL	Cowell Airport	Cowell, South Australia, Australia
CCX	SWKC	Cáceres Airport	Cáceres, Mato Grosso|Cáceres, Minas Gerais, Brazil
CCY	KCCY	Northeast Iowa Regional Airport	Charles City, Iowa, United States
CCZ	MYBC	Chub Cay International Airport	Chub Cay, Berry Islands, Bahamas
CDA	YCOO	Cooinda Airport	Cooinda, Northern Territory, Australia
CDB	PACD	Cold Bay Airport	Cold Bay, Alaska, United States
CDC	KCDC	Cedar City Regional Airport	Cedar City, Utah, United States
CDD		Cauquira Airport	Cauquira, Honduras
CDE	PACE	Cape Decision Coast Guard Heliport	Cape Decision, Alaska, United States
CDF		Fiames Airport	Cortina d'Ampezzo, Italy
CDG	LFPG	Charles de Gaulle International Airport (Roissy Airport)	Paris, France
CDH	KCDH	Harrell Field	Camden, Arkansas, United States
CDI		Cachoeiro de Itapemirim Airport	Cachoeiro de Itapemirim, Brazil
CDJ	SBAA	Conceição do Araguaia Airport	Conceição do Araguaia, Pará, Brazil
CDK	KCDK	George T. Lewis Airport	Cedar Key, Florida, United States
CDL		Candle 2 Airport (FAA: AK75)	Candle, Alaska|Candle, Alaska, United States
CDN	KCDN	Woodward Field (airport)|Woodward Field	Camden, South Carolina, United States
CDO	FACD	Cradock Airport	Cradock, Eastern Cape, South Africa
CDP	VOCP	Cuddapah Airport	Cuddapah, India
CDQ	YCRY	Croydon Airport (Australia)|Croydon Airport	Croydon, Queensland, Australia
CDR	KCDR	Chadron Municipal Airport	Chadron, Nebraska, United States
CDS	KCDS	Childress Municipal Airport	Childress, Texas, United States
CDU	YSCN	Camden Airport	Camden, New South Wales, Australia
CDV	PACV	Merle K. (Mudhole) Smith Airport	Cordova, Alaska, United States
CDW	KCDW	Essex County Airport	Caldwell, New Jersey, United States
CDY	RPMU	Cagayan de Tawi-Tawi Airport	Mapun, Tawi-Tawi, Philippines
CEA	KCEA	Cessna Aircraft Field	Wichita, Kansas, United States
CEB	RPVM	Mactan-Cebu International Airport	Lapu-Lapu City, Philippines
CEC	KCEC	Jack McNamara Field	Crescent City, California, United States
CED	YCDU	Ceduna Airport	Ceduna, South Australia, Australia
CEE	ULWC	Cherepovets Airport	Cherepovets, Vologda Oblast, Russia
CEF	KCEF	Westover ARB/Westover Metropolitan Airport	Springfield, Massachusetts|Springfield/Chicopee, Massachusetts, United States
CEG	EGNR	Hawarden Airport (Chester Airport)	Chester, England, United Kingdom
CEH	FWCD	Chelinda Airport	Chelinda, Malawi
CEI	VTCT	Chiang Rai International Airport	Chiang Rai, Thailand
CEJ	UKKL	Chernihiv Shestovitsa Airport	Chernihiv, Ukraine
CEK	USCC	Chelyabinsk Balandino Airport	Chelyabinsk, Russia
CEL	MYEC	Cape Eleuthera Airport	Cape Eleuthera, Eleuthera, Bahamas
CEM	PARL	Central Airport	Central, Alaska, United States
CEN	MMCN	Ciudad Obregón International Airport	Ciudad Obregón, Sonora, Mexico
CEO	FNWK	Waco Kungo Airport	Waco Kungo, Angola
CEP	SLCP	Concepción Airport	Concepción, Santa Cruz, Bolivia
CEQ	LFMD	Cannes - Mandelieu Airport	Cannes, France
CER	LFRC	Cherbourg - Maupertus Airport	Cherbourg, France
CES	YCNK	Cessnock Airport	Cessnock, New South Wales, Australia
CET	LFOU	Cholet Le Pontreau Airport	Cholet, France
CEU	KCEU	Oconee County Regional Airport	Clemson, South Carolina, United States
CEV	KCEV	Mettel Field	Connersville, Indiana, United States
CEW	KCEW	Bob Sikes Airport	Crestview, Florida, United States
CEX		Chena Hot Springs Airport (FAA: AK13)	Chena Hot Springs, Alaska, United States
CEY	KCEY	Murray-Calloway County Airport	Murray, Kentucky, United States
CEZ	KCEZ	Cortez Municipal Airport	Cortez, Colorado, United States
CFB	SBCB	Cabo Frio International Airport	Cabo Frio, Rio de Janeiro, Brazil
CFD	KCFD	Coulter Field	Bryan, Texas, United States
CFE	LFLC	Clermont-Ferrand Auvergne Airport	Clermont-Ferrand, France
CFF	FNCF	Cafunfo Airport	Cafunfo, Angola
CFG	MUCF	Jaime González Airport	Cienfuegos, Cuba
CFH		Clifton Hills Airport	Clifton Hills, South Australia, Australia
CFI		Camfield Airport	Camfield, Northern Territory, Australia
CFN	EIDL	Donegal Airport	Gweedore|Carrickfinn, Ireland
CFO		Confreza Airport	Confreza, Mato Grosso, Brazil
CFP		Carpentaria Downs Airport	Carpentaria Downs, Queensland, Australia
CFR	LFRK	Caen - Carpiquet Airport	Caen, France
CFS	YCFS	Coffs Harbour Airport	Coffs Harbour, New South Wales, Australia
CFT	KCFT	Greenlee County Airport	Clifton, Arizona|Clifton/Morenci, Arizona, United States
CFU	LGKR	Ioannis Kapodistrias International Airport (Corfu International Airport)	Corfu, Greece
CFV	KCFV	Coffeyville Municipal Airport	Coffeyville, Kansas, United States
CGA		Craig Seaplane Base	Craig, Alaska, United States
CGB	SBCY	Marechal Rondon Airport	Cuiabá, Mato Grosso, Brazil
CGC		Cape Gloucester Airport	Cape Gloucester, Papua New Guinea
CGD	ZGCD	Changde Airport	Changde, Hunan, People's Republic of China|China
CGE	KCGE	Cambridge-Dorchester Airport	Cambridge, Maryland, United States
CGF	KCGF	Cuyahoga County Airport	Cleveland, Ohio, United States
CGG		Casiguran Airport	Casiguran, Aurora|Casiguran, Aurora (province)|Aurora, Philippines
CGH	SBSP	Congonhas-São Paulo Airport|Congonhas/São Paulo National Airport	São Paulo (city)|São Paulo, Brazil
CGI	KCGI	Cape Girardeau Regional Airport	Cape Girardeau, Missouri, United States
CGJ		Chingola Airport	Chingola, Zambia
CGK	WIII	Soekarno-Hatta International Airport	Jakarta, Indonesia
CGM	RPMH	Camiguin Airport	Mambajao, Camiguin, Philippines
CGN	EDDK	Cologne Bonn Airport (Köln/Bonn - Konrad Adenauer)	Cologne, North Rhine-Westphalia, Germany
CGO	ZHCC	Zhengzhou Xinzheng International Airport	Zhengzhou, Henan, People's Republic of China|China
CGP	VGEG	Shah Amanat International Airport	Chittagong, Bangladesh
CGQ	ZYCC	Changchun Longjia International Airport	Changchun, Jilin, People's Republic of China|China
CGR	SBCG	Campo Grande International Airport	Campo Grande, Mato Grosso do Sul, Brazil
CGS	KCGS	College Park Airport	College Park, Maryland, United States
CGT		Chinguitti Airport	Chinguitti, Mauritania
CGU	SVPR	General Manuel Carlos Piar Airport	Ciudad Guayana, Venezuela
CGV	YCAG	Caiguna Airport	Caiguna, Western Australia, Australia
CGY	RPML	Lumbia Airport	Cagayan de Oro City, Philippines
CGZ	KCGZ	Casa Grande Municipal Airport	Casa Grande, Arizona, United States
CHA	KCHA	Chattanooga Metropolitan Airport (Lovell Field)	Chattanooga, Tennessee, United States
CHB	OPCL	Chilas Airport	Chilas, Pakistan
CHC	NZCH	Christchurch International Airport	Christchurch, New Zealand|Christchurch, New Zealand
CHE		Reenroe Airport	Cahersiveen, County Kerry, Republic of Ireland
CHF	RKPE	Chinhae Airport	Chinhae, South Korea
CHG	ZYCY	Chaoyang Airport	Chaoyang, Liaoning|Chaoyang, People's Republic of China|China
CHH	SPPY	Chachapoyas Airport	Chachapoyas, Peru|Chachapoyas, Peru
CHI		List of airports in the Chicago area|All Airports	Chicago, Illinois, United States
CHJ	FVCH	Chipinge Airport	Chipinge, Zimbabwe
CHK	KCHK	Chickasha Municipal Airport	Chickasha, Oklahoma, United States
CHL	KLLJ	Challis Airport (FAA: LLJ)	Challis, Idaho, United States
CHM	SPEO	Tnte. FAP Jaime Montreuil Morales Airport	Chimbote, Ancash Region, Peru
CHN	RKJU	Chonju Airport	Chonju, South Korea
CHO	KCHO	Charlottesville-Albemarle Airport	Charlottesville, Virginia, United States
CHP		Circle Hot Springs Airport	Circle Hot Springs, Alaska, United States
CHQ	LGSA	Chania International Airport ("Ioannis Daskalogiannis")	Chania, Greece
CHR	LFLX	Châteauroux-Déols "Marcel Dassault" Airport	Châteauroux / Déols, France
CHS	KCHS	Charleston International Airport / Charleston AFB	Charleston, South Carolina, United States
CHT	NZCI	Chatham Islands / Tuuta Airport	Waitangi, Chatham Islands, New Zealand
CHU		Chuathbaluk Airport (FAA: 9A3)	Chuathbaluk, Alaska, United States
CHV	LPCH	Chaves Airport	Chaves (Portugal)|Chaves, Portugal
CHW	ZLJQ	Jiuquan Airport	Jiuquan, Gansu, People's Republic of China|China
CHX	MPCH	Captain Manuel Niño International Airport	Changuinola, Bocas del Toro Province|Bocas del Toro, Panama
CHY	AGGC	Choiseul Bay Airport	Choiseul Bay, Taro Island, Solomon Islands
CHZ		Chiloquin State Airport (FAA: 2S7)	Chiloquin, Oregon, United States
CIA	LIRA	Rome Ciampino Airport (Giovan Battista Pastine Airport)	Rome, Italy
CIB	KAVX	Catalina Airport (FAA: AVX)	Avalon, California, United States
CIC	KCIC	Chico Municipal Airport	Chico, California, United States
CID	KCID	The Eastern Iowa Airport	Cedar Rapids, Iowa, United States
CIE		Collie Airport	Collie, Western Australia, Australia
CIF	ZBCF	Chifeng Airport	Chifeng, Inner Mongolia, People's Republic of China|China
CIG	KCAG	Craig-Moffat Airport (FAA: CAG)	Craig, Colorado, United States
CIH	ZBCZ	Changzhi Airport	Changzhi, Shanxi, People's Republic of China|China
CIJ	SLCO	Capitan Anibal Arab Airport	Cobija, Bolivia
CIK	PACI	Chalkyitsik Airport	Chalkyitsik, Alaska, United States
CIL		Council Airport (FAA: K29)	Council, Alaska, United States
CIM	SKCM	Cimitarra Airport	Cimitarra, Colombia
CIN	KCIN	Arthur N. Neu Airport	Carroll, Iowa, United States
CIO	SGCO	Teniente Coronel Carmelo Peralta Airport	Concepción, Paraguay|Concepción, Paraguay
CIP	FLCP	Chipata Airport	Chipata, Zambia
CIQ		Chiquimula Airport	Chiquimula, Chiquimula Department|Chiquimula, Guatemala
CIR	KCIR	Cairo Regional Airport	Cairo, Illinois, United States
CIS	PCIS	Canton Island Airport	Canton Island, Kiribati
CIT	UAII	Shymkent Airport	Shymkent, Kazakhstan
CIU	KCIU	Chippewa County International Airport	Sault Ste Marie, Michigan, United States
CIW	TVSC	Canouan Island Airport	Canouan Island, Saint Vincent and the Grenadines
CIX	SPHI	Capitán FAP José A. Quiñones Gonzales International Airport	Chiclayo, Peru
CIY	LICB	Comiso Airport	Comiso, Italy
CIZ	SWKO	Coari Airport	Coari, Amazonas (Brazilian state)|Amazonas, Brazil
CJA	SPJR	Major General FAP Armando Revoredo Iglesias Airport	Cajamarca, Perú
CJB	VOCB	Coimbatore Airport (Peelamedu Airport)	Coimbatore, India
CJC	SCCF	El Loa Airport	Calama, Chile|Calama, Antofagasta Region, Chile
CJD		Candilejas Airport	Candilejas, Colombia
CJH		Chilko Lake (Tsylos Park Lodge) Airport (TC: CAG3)	Chilko Lake, British Columbia, Canada
CJJ	RKTU	Cheong Ju International Airport	Cheong ju, South Korea
CJL	OPCH	Chitral Airport	Chitral, Pakistan
CJM	VTSE	Chumphon Airport	Chumphon, Thailand
CJS	MMCS	Abraham González International Airport	Ciudad Juárez, Chihuahua (state)|Chihuahua, Mexico
CJT	MMCO	Copalar Airport	Comitán, Chiapas, Mexico
CJU	RKPC	Jeju International Airport	Jeju City|Jeju, South Korea
CKA	KCKA	Kegelman Air Force Auxiliary Field	Cherokee, Oklahoma, United States
CKB	KCKB	North Central West Virginia Airport	Clarksburg, West Virginia, United States
CKC	UKKE	Cherkassy Airport	Cherkassy, Ukraine
CKD		Crooked Creek Airport (FAA: CJX)	Crooked Creek, Alaska, United States
CKE		Ferndale Resort Seaplane Base (FAA: CN20)	Kelseyville, California, United States
CKF	KCKF	Crisp County-Cordele Airport	Cordele, Georgia, United States
CKG	ZUCK	Chongqing Jiangbei International Airport	Chongqing, People's Republic of China|China
CKH	UESO	Chokurdah Airport	Chokurdah, Russia
CKI	YCKI	Croker Island Airport	Croker Island, Northern Territory, Australia
CKL	UUMU	Chkalovsky Airport	Shchyolkovo (Moscow Oblast), Russia
CKM	KCKM	Fletcher Field	Clarksdale, Mississippi, United States
CKN	KCKN	Crookston Municipal Airport (Kirkwood Field)	Crookston, Minnesota, United States
CKO	SSCP	Cornelio Procopio Airport	Cornelio Procopio, Paraná (state)|Paraná, Brazil
CKS	SBCJ	Carajas Airport	Carajás, Pará, Brazil
CKT	OIMC	Sarakhs Airport	Sarakhs, Iran
CKU		Cordova Municipal Airport	Cordova, Alaska, United States
CKV	KCKV	Outlaw Field	Clarksville, Tennessee, United States
CKX		Chicken Airport	Chicken, Alaska, United States
CKY	GUCY	Gbessia Airport	Conakry, Guinea
CKZ	LTBH	Çanakkale Airport	Çanakkale, Turkey
CLA	VGCM	Comilla Airport	Comilla, Bangladesh
CLB	EICB	Castlebar Airport	Castlebar, County Mayo, Ireland
CLD	KCRQ	McClellan-Palomar Airport (FAA: CRQ)	Carlsbad, California, United States
CLE	KCLE	Cleveland Hopkins International Airport	Cleveland, Ohio, United States
CLF		Clear Sky Lodge Airport	Clear, Alaska|Clear, Alaska, United States
CLG		New Coalinga Municipal Airport (FAA: C80)	Coalinga, California, United States
CLH	YCAH	Coolah Airport	Coolah, New South Wales, Australia
CLI	KCLI	Clintonville Municipal Airport	Clintonville, Wisconsin, United States
CLJ	LRCL	Cluj-Napoca International Airport	Cluj-Napoca, Romania
CLK	KCLK	Clinton Regional Airport	Clinton, Oklahoma, United States
CLL	KCLL	Easterwood Airport (Easterwood Field)	College Station, Texas, United States
CLM	KCLM	William R. Fairchild International Airport	Port Angeles, Washington, United States
CLN	SBCI	Carolina Airport	Carolina, Maranhão|Carolina, Maranhão, Brazil
CLO	SKCL	Alfonso Bonilla Aragón International Airport	Cali, Colombia
CLP	PFCL	Clarks Point Airport	Clarks Point, Alaska, United States
CLQ	MMIA	Lic. Miguel de la Madrid Airport|Licenciado Miguel de la Madrid Airport	Colima, Colima, Mexico
CLR	KCLR	Cliff Hatfield Memorial Airport	Calipatria, California, United States
CLS	KCLS	Chehalis-Centralia Airport	Chehalis, Washington, United States
CLT	KCLT	Charlotte/Douglas International Airport	Charlotte, North Carolina, United States
CLU	KBAK	Columbus Municipal Airport (Indiana)|Columbus Municipal Airport (FAA: BAK)	Columbus, Indiana, United States
CLV	SWKN	Caldas Novas Airport	Caldas Novas, Goiás, Brazil
CLW	KCLW	Clearwater Air Park	Clearwater, Florida, United States
CLX	SATC	Clorinda Airport	Clorinda, Formosa, Argentina
CLY	LFKC	Calvi - Sainte-Catherine Airport	Calvi, Haute-Corse|Calvi, Corsica, France
CLZ	SVCL	Calabozo Airport	Calabozo, Venezuela
CMA	YCMU	Cunnamulla Airport	Cunnamulla, Queensland, Australia
CMB	VCBI	Bandaranaike International Airport	Colombo, Sri Lanka
CMC	SNWC	Camocim Airport	Camocim, Ceará, Brazil
CMD	YCTM	Cootamundra Airport	Cootamundra, New South Wales, Australia
CME	MMCE	Ciudad del Carmen International Airport	Ciudad del Carmen, Campeche, Mexico
CMF	LFLB	Chambéry-Savoie Airport	Chambéry, France
CMG	SBCR	Corumbá International Airport	Corumbá, Mato Grosso do Sul, Brazil
CMH	KCMH	Port Columbus International Airport	Columbus, Ohio, United States
CMI	KCMI	University of Illinois Willard Airport	Champaign-Urbana, Illinois, United States
CMJ	RCCM	Cimei Airport	Cimei, Taiwan
CMK	FWCM	Club Makokola Airport	Club Makokola, Malawi
CML	YCMW	Camooweal Airport	Camooweal, Queensland, Australia
CMM	MGCR	Carmelita Airport	Carmelita, Petén Department|El Petén, Guatemala
CMN	GMMN	Mohammed V International Airport	Casablanca, Morocco
CMO	HCMO	Obbia Airport	Obbia, Somalia
CMP	SNKE	Campo Alegre Airport	Santana do Araguaia, Pará, Brazil
CMQ	YCMT	Clermont Airport	Clermont, Queensland, Australia
CMR	LFGA	Colmar - Houssen Airport	Colmar / Houssen, France
CMS	HCMS	Scusciuban Airport	Scusciuban, Somalia
CMT		Cameta Airport	Cameta, Pará, Brazil
CMU	AYCH	Chimbu Airport	Kundiawa, Papua New Guinea
CMV	NZCX	Coromandel Airport	Coromandel, New Zealand
CMW	MUCM	Camagüey-Ignacio Agramonte Airport	Camaguey, Cuba
CMX	KCMX	Houghton County Memorial Airport	Hancock, Michigan, United States
CMY	KCMY	Sparta/Fort McCoy Airport	Sparta, Wisconsin, United States
CNA	MMCA	Cananea Airport	Cananea, Sonora, México
CNB	YCNM	Coonamble Airport	Coonamble, New South Wales, Australia
CNC	YCCT	Coconut Island Airport	Coconut Island (Queensland)|Coconut Island (Poruma Island), Queensland, Australia
CND	LRCK	Mihail Kogalniceanu International Airport	Constanta, Romania
CNE		Fremont County Airport (FAA: 1V6)	Cañon City, Colorado, United States
CNF	SBCF	Tancredo Neves International Airport (Confins Int'l)	Belo Horizonte, Minas Gerais, Brazil
CNG	LFBG	Cognac - Châteaubernard Air Base	Cognac / Châteaubernard, France
CNH	KCNH	Claremont Municipal Airport	Claremont, New Hampshire, United States
CNI	ZYCH	Changhai Airport	Changhai, People's Republic of China|China
CNJ	YCCY	Cloncurry Airport	Cloncurry, Queensland, Australia
CNK	KCNK	Blosser Municipal Airport	Concordia, Kansas, United States
CNL	EKSN	Sindal Airport	Sindal, Denmark
CNM	KCNM	Cavern City Air Terminal	Carlsbad, New Mexico, United States
CNN	UELL	Neryungri Airport	Chulman, Sakha Republic|Yakutia, Russia
CNO	KCNO	Chino Airport	Chino, California, United States
CNP	BGCO	Nerlerit Inaat Airport (Constable Pynt Airport)	Nerlerit Inaat (Constable Pynt), Greenland
CNQ	SARC	Doctor Fernando Piragine Niveyro International Airport	Corrientes, Corrientes Province|Corrientes, Argentina
CNR	SCRA	Chañaral Airport	Chañaral, Atacama Region, Chile
CNS	YBCS	Cairns International Airport	Cairns, Queensland, Australia
CNT		Charata Airport	Charata, Chubut Province|Chubut, Argentina
CNU	KCNU	Chanute Martin Johnson Airport	Chanute, Kansas, United States
CNV	SNED	Canavieiras Airport	Canavieiras, Bahia, Brazil
CNW	KCNW	TSTC Waco Airport	Waco, Texas, United States
CNX	VTCC	Chiang Mai International Airport	Chiang Mai, Thailand
CNY	KCNY	Canyonlands Field	Moab, Utah, United States
CNZ		Cangamba Airport	Cangamba, Angola
COA		Columbia Airport (California)|Columbia Airport (FAA: O22)	Columbia, California, United States
COB		Coolibah Airport	Coolibah, Northern Territory|Coolibah, Northern Territory, Australia
COC	SAAC	Concordia Airport (Comodoro Pierrestegui Airport)	Concordia, Entre Ríos, Argentina
COD	KCOD	Yellowstone Regional Airport	Cody, Wyoming, United States
COE	KCOE	Coeur d'Alene Air Terminal	Coeur d'Alene, Idaho, United States
COF	KCOF	Patrick Air Force Base	Cocoa Beach, Florida, United States
COG	SKCD	Mandinga Airport	Condoto, Colombia
COH	VECO	Cooch Behar Airport	Cooch Behar, India
COI	KCOI	Merritt Island Airport	Merritt Island, Florida, United States
COJ	YCBB	Coonabarabran Airport	Coonabarabran, New South Wales, Australia
COK	VOCI	Cochin International Airport (Nedumbassery Airport)	Nedumbassery near Kochi, India|Kochi (Cochin), Kerala, India
COL		Coll Island Airport	Coll Island, Scotland, United Kingdom
COM	KCOM	Coleman Municipal Airport	Coleman, Texas, United States
CON	KCON	Concord Municipal Airport	Concord, New Hampshire, United States
COO	DBBB	Cadjehoun Airport	Cotonou, Benin
COP		Cooperstown-Westville Airport (FAA: K23)	Cooperstown, New York, United States
COQ	ZMCD	Choibalsan Airport	Choibalsan, Mongolia
COR	SACO	Ingeniero Ambrosio L.V. Taravella International Airport (Pajas Blancas)	Córdoba, Argentina|Córdoba, Córdoba Province (Argentina)|Córdoba, Argentina
COS	KCOS	Colorado Springs Airport	Colorado Springs, Colorado, United States
COT	KCOT	Cotulla-La Salle County Airport	Cotulla, Texas, United States
COU	KCOU	Columbia Regional Airport	Columbia, Missouri, United States
COV	LPCV	Covilhã Airport	Covilhã, Portugal
COW	SCQB	Coquimbo Airport	Coquimbo, Coquimbo Region, Chile
COX	MYAK	Congo Town Airport	Congo Town, Andros Island, Bahamas
COY		Coolawanyah Airport	Coolawanyah, Western Australia, Australia
COZ	MDCZ	Constanza Airport	Constanza, Dominican Republic|Constanza, Dominican Republic
CPA	GLCP	Cape Palmas Airport (A. Tubman Airport)	Cape Palmas, Liberia
CPB	SKCA	Capurgana Airport	Capurgana, Colombia
CPC	SAZY	Aviador Carlos Campos Airport	San Martín de los Andes, Neuquén Province|Neuquén, Argentina
CPD	YCBP	Coober Pedy Airport	Coober Pedy, South Australia, Australia
